day, case, vaccine provided
18/3/2020, 0, 0
19/3/2020, 3, 0
20/3/2020, 5, 0
21/3/2020, 1, 0
22/3/2020, 6, 0
23/3/2020, 3, 0
24/3/2020, 6, 0
25/3/2020, 0, 0
26/3/2020, 5, 0
27/3/2020, 4, 0
28/3/2020, 1, 0
29/3/2020, 0, 0
30/3/2020, 2, 0
31/3/2020, 2, 0
1/4/2020, 0, 0
2/4/2020, 1, 0
3/4/2020, 3, 0
4/4/2020, 0, 0
5/4/2020, 0, 0
6/4/2020, 0, 0
7/4/2020, 1, 0
8/4/2020, 0, 0
9/4/2020, 0, 0
10/4/2020, 0, 0
12/4/2020, 0, 0
13/4/2020, 1, 0
14/4/2020, 0, 0
15/4/2020, 0, 0
16/4/2020, 0, 0
17/4/2020, 0, 0
18/4/2020, 0, 0
19/4/2020, 0, 0
20/4/2020, 0, 0
21/4/2020, 0, 0
22/4/2020, 0, 0
23/4/2020, 0, 0
24/4/2020, 0, 0
25/4/2020, 0, 0
27/4/2020, 0, 0
29/4/2020, 0, 0
30/4/2020, 0, 0
1/5/2020, 0, 0
3/5/2020, 1, 0
4/5/2020, 0, 0
5/5/2020, 0, 0
6/5/2020, 0, 0
7/5/2020, 0, 0
8/5/2020, 0, 0
11/5/2020, 0, 0
12/5/2020, 0, 0
14/5/2020, 0, 0
15/5/2020, 0, 0
16/5/2020, 0, 0
17/5/2020, 0, 0
18/5/2020, 2, 0
20/5/2020, 0, 0
21/5/2020, 0, 0
22/5/2020, 0, 0
24/5/2020, 0, 0
25/5/2020, 1, 0
27/5/2020, 0, 0
29/5/2020, 0, 0
30/5/2020, 0, 0
1/6/2020, 0, 0
2/6/2020, 0, 0
3/6/2020, 0, 0
5/6/2020, 0, 0
6/6/2020, 1, 0
7/6/2020, 0, 0
8/6/2020, 0, 0
10/6/2020, 0, 0
11/6/2020, 0, 0
12/6/2020, 0, 0
13/6/2020, 0, 0
15/6/2020, 0, 0
16/6/2020, 1, 0
18/6/2020, 0, 0
19/6/2020, 0, 0
20/6/2020, 0, 0
22/6/2020, 0, 0
24/6/2020, 0, 0
26/6/2020, 1, 0
27/6/2020, 0, 0
29/6/2020, 0, 0
1/7/2020, 0, 0
2/7/2020, 0, 0
6/7/2020, 0, 0
7/7/2020, 0, 0
9/7/2020, 0, 0
10/7/2020, 0, 0
11/7/2020, 0, 0
12/7/2020, 0, 0
14/7/2020, 0, 0
16/7/2020, 0, 0
17/7/2020, 0, 0
20/7/2020, 0, 0
21/7/2020, 0, 0
22/7/2020, 0, 0
23/7/2020, 0, 0
24/7/2020, 0, 0
25/7/2020, 0, 0
26/7/2020, 0, 0
27/7/2020, 0, 0
29/7/2020, 2, 0
30/7/2020, 0, 0
31/7/2020, 2, 0
1/8/2020, 3, 0
2/8/2020, 2, 0
3/8/2020, 0, 0
4/8/2020, 0, 0
5/8/2020, 0, 0
6/8/2020, 0, 0
7/8/2020, 1, 0
8/8/2020, 0, 0
9/8/2020, 0, 0
10/8/2020, 1, 0
11/8/2020, 0, 0
12/8/2020, 0, 0
13/8/2020, 0, 0
14/8/2020, 1, 0
15/8/2020, 4, 0
16/8/2020, 0, 0
17/8/2020, 0, 0
18/8/2020, 0, 0
19/8/2020, 0, 0
20/8/2020, 1, 0
21/8/2020, 0, 0
22/8/2020, 0, 0
23/8/2020, 0, 0
24/8/2020, 0, 0
25/8/2020, 0, 0
26/8/2020, 0, 0
27/8/2020, 0, 0
28/8/2020, 0, 0
29/8/2020, 0, 0
30/8/2020, 0, 0
31/8/2020, 0, 0
1/9/2020, 0, 0
2/9/2020, 0, 0
3/9/2020, 0, 0
4/9/2020, 0, 0
5/9/2020, 0, 0
6/9/2020, 0, 0
7/9/2020, 0, 0
8/9/2020, 0, 0
9/9/2020, 0, 0
10/9/2020, 0, 0
11/9/2020, 0, 0
12/9/2020, 0, 0
13/9/2020, 0, 0
14/9/2020, 0, 0
15/9/2020, 0, 0
16/9/2020, 0, 0
17/9/2020, 0, 0
18/9/2020, 0, 0
19/9/2020, 0, 0
20/9/2020, 0, 0
21/9/2020, 0, 0
22/9/2020, 0, 0
23/9/2020, 0, 0
24/9/2020, 0, 0
25/9/2020, 0, 0
26/9/2020, 0, 0
27/9/2020, 0, 0
28/9/2020, 0, 0
29/9/2020, 0, 0
30/9/2020, 0, 0
1/10/2020, 0, 0
2/10/2020, 0, 0
3/10/2020, 0, 0
4/10/2020, 0, 0
5/10/2020, 0, 0
6/10/2020, 0, 0
7/10/2020, 0, 0
8/10/2020, 0, 0
9/10/2020, 0, 0
10/10/2020, 1, 0
11/10/2020, 0, 0
12/10/2020, 1, 0
13/10/2020, 0, 0
14/10/2020, 0, 0
15/10/2020, 0, 0
16/10/2020, 0, 0
17/10/2020, 1, 0
18/10/2020, 0, 0
19/10/2020, 1, 0
20/10/2020, 1, 0
21/10/2020, 0, 0
22/10/2020, 0, 0
23/10/2020, 0, 0
24/10/2020, 0, 0
25/10/2020, 0, 0
26/10/2020, 0, 0
27/10/2020, 0, 0
28/10/2020, 0, 0
29/10/2020, 0, 0
30/10/2020, 0, 0
31/10/2020, 0, 0
1/11/2020, 0, 0
2/11/2020, 0, 0
3/11/2020, 0, 0
4/11/2020, 0, 0
5/11/2020, 0, 0
6/11/2020, 0, 0
7/11/2020, 0, 0
8/11/2020, 0, 0
9/11/2020, 0, 0
10/11/2020, 0, 0
11/11/2020, 25, 0
12/11/2020, 0, 0
13/11/2020, 3, 0
14/11/2020, 0, 0
15/11/2020, 0, 0
16/11/2020, 0, 0
17/11/2020, 0, 0
18/11/2020, 6, 0
19/11/2020, 0, 0
20/11/2020, 0, 0
21/11/2020, 0, 0
22/11/2020, 0, 0
23/11/2020, 3, 0
24/11/2020, 0, 0
25/11/2020, 2, 0
26/11/2020, 10, 0
27/11/2020, 3, 0
28/11/2020, 0, 0
29/11/2020, 1, 0
30/11/2020, 0, 0
1/12/2020, 4, 0
2/12/2020, 0, 0
3/12/2020, 1, 0
4/12/2020, 0, 0
5/12/2020, 3, 0
6/12/2020, 0, 0
7/12/2020, 0, 0
8/12/2020, 1, 0
9/12/2020, 0, 0
10/12/2020, 0, 0
11/12/2020, 0, 0
12/12/2020, 0, 0
13/12/2020, 0, 0
14/12/2020, 0, 0
15/12/2020, 0, 0
16/12/2020, 0, 0
17/12/2020, 0, 0
18/12/2020, 0, 0
19/12/2020, 0, 0
20/12/2020, 0, 0
21/12/2020, 0, 0
22/12/2020, 0, 0
23/12/2020, 0, 0
24/12/2020, 0, 0
25/12/2020, 0, 0
26/12/2020, 0, 0
27/12/2020, 0, 0
28/12/2020, 1, 0
29/12/2020, 2, 0
30/12/2020, 1, 0
31/12/2020, 2, 0
1/1/2021, 0, 0
2/1/2021, 0, 0
3/1/2021, 0, 0
4/1/2021, 2, 0
5/1/2021, 1, 0
6/1/2021, 0, 0
7/1/2021, 0, 0
8/1/2021, 0, 0
9/1/2021, 0, 0
10/1/2021, 0, 0
11/1/2021, 1, 0
12/1/2021, 0, 0
13/1/2021, 0, 0
14/1/2021, 2, 0
15/1/2021, 2, 0
16/1/2021, 0, 0
17/1/2021, 0, 0
18/1/2021, 0, 0
19/1/2021, 0, 0
20/1/2021, 4, 0
21/1/2021, 0, 0
22/1/2021, 1, 0
23/1/2021, 0, 0
24/1/2021, 0, 0
25/1/2021, 0, 0
26/1/2021, 2, 0
27/1/2021, 0, 0
28/1/2021, 1, 0
29/1/2021, 0, 0
30/1/2021, 2, 0
31/1/2021, 0, 0
1/2/2021, 1, 0
2/2/2021, 0, 0
3/2/2021, 0, 0
4/2/2021, 0, 0
5/2/2021, 0, 0
6/2/2021, 1, 0
7/2/2021, 0, 0
8/2/2021, 29, 0
9/2/2021, 4, 0
10/2/2021, 2, 0
11/2/2021, 0, 0
12/2/2021, 0, 0
13/2/2021, 6, 0
14/2/2021, 0, 0
15/2/2021, 0, 0
16/2/2021, 0, 0
17/2/2021, 0, 0
18/2/2021, 0, 0
19/2/2021, 0, 0
20/2/2021, 0, 0
21/2/2021, 0, 0
22/2/2021, 0, 0
23/2/2021, 0, 0
24/2/2021, 0, 0
25/2/2021, 0, 0
26/2/2021, 0, 0
27/2/2021, 0, 0
28/2/2021, 0, 0
1/3/2021, 0, 0
2/3/2021, 0, 0
3/3/2021, 0, 0
4/3/2021, 0, 0
5/3/2021, 0, 0
6/3/2021, 0, 0
7/3/2021, 0, 0
8/3/2021, 3, 0
9/3/2021, 0, 0
10/3/2021, 1, 0
11/3/2021, 0, 0
12/3/2021, 0, 0
13/3/2021, 0, 0
14/3/2021, 1, 0
15/3/2021, 0, 0
16/3/2021, 0, 0
17/3/2021, 0, 0
18/3/2021, 0, 0
19/3/2021, 1, 0
20/3/2021, 0, 0
21/3/2021, 0, 0
22/3/2021, 1, 0
23/3/2021, 0, 0
24/3/2021, 0, 0
25/3/2021, 1, 0
26/3/2021, 1, 0
27/3/2021, 0, 0
28/3/2021, 0, 0
29/3/2021, 1, 0
30/3/2021, 0, 0
31/3/2021, 0, 0
1/4/2021, 0, 0
2/4/2021, 1, 0
3/4/2021, 0, 0
4/4/2021, 0, 0
5/4/2021, 1, 0
6/4/2021, 0, 0
7/4/2021, 2, 0
8/4/2021, 3, 0
9/4/2021, 1, 0
10/4/2021, 0, 0
11/4/2021, 0, 0
12/4/2021, 2, 0
13/4/2021, 2, 0
14/4/2021, 3, 0
15/4/2021, 5, 0
16/4/2021, 4, 0
17/4/2021, 0, 0
18/4/2021, 0, 0
19/4/2021, 3, 0
20/4/2021, 0, 0
21/4/2021, 0, 0
22/4/2021, 0, 0
23/4/2021, 6, 0
24/4/2021, 0, 0
25/4/2021, 0, 0
26/4/2021, 3, 0
27/4/2021, 0, 0
28/4/2021, 0, 0
29/4/2021, 1, 0
30/4/2021, 2, 0
1/5/2021, 3, 0
2/5/2021, 0, 0
3/5/2021, 0, 0
4/5/2021, 3, 0
5/5/2021, 1, 0
6/5/2021, 0, 0
7/5/2021, 2, 0
8/5/2021, 1, 0
9/5/2021, 0, 0
10/5/2021, 0, 0
11/5/2021, 3, 0
12/5/2021, 0, 0
13/5/2021, 0, 0
14/5/2021, 0, 0
15/5/2021, 0, 0
16/5/2021, 0, 0
17/5/2021, 0, 0
18/5/2021, 0, 0
19/5/2021, 2, 0
20/5/2021, 4, 0
21/5/2021, 0, 0
22/5/2021, 0, 0
23/5/2021, 0, 0
24/5/2021, 1, 0
25/5/2021, 1, 0
26/5/2021, 0, 0
27/5/2021, 36, 0
28/5/2021, 0, 0
29/5/2021, 54, 0
30/5/2021, 59, 0
31/5/2021, 0, 0
1/6/2021, 70, 0
2/6/2021, 33, 0
3/6/2021, 33, 0
4/6/2021, 26, 0
5/6/2021, 31, 0
6/6/2021, 31, 0
7/6/2021, 69, 0
8/6/2021, 0, 0
9/6/2021, 54, 0
10/6/2021, 61, 0
11/6/2021, 48, 0
12/6/2021, 73, 0
13/6/2021, 101, 0
14/6/2021, 89, 0
15/6/2021, 52, 0
16/6/2021, 137, 0
17/6/2021, 75, 0
18/6/2021, 212, 0
19/6/2021, 104, 0
20/6/2021, 111, 0
21/6/2021, 224, 0
22/6/2021, 73, 0
23/6/2021, 154, 0
24/6/2021, 165, 0
25/6/2021, 226, 0
26/6/2021, 622, 0
27/6/2021, 105, 0
28/6/2021, 314, 0
29/6/2021, 112, 0
30/6/2021, 292, 0
1/7/2021, 311, 0
2/7/2021, 418, 0
3/7/2021, 365, 0
4/7/2021, 0, 0
5/7/2021, 1107, 0
6/7/2021, 0, 0
7/7/2021, 1080, 0
8/7/2021, 0, 0
9/7/2021, 0, 0
10/7/2021, 1229, 0
11/7/2021, 0, 0
12/7/2021, 2835, 0
13/7/2021, 1623, 0
14/7/2021, 900, 0
15/7/2021, 625, 0
16/7/2021, 5571, 0
17/7/2021, 1769, 0
18/7/2021, 2318, 0
19/7/2021, 0, 0
20/7/2021, 10011, 0
21/7/2021, 0, 0
22/7/2021, 0, 0
23/7/2021, 16024, 0
24/7/2021, 5396, 0
25/7/2021, 4555, 0
26/7/2021, 5997, 0
27/7/2021, 6318, 0
28/7/2021, 4449, 0
29/7/2021, 4592, 0
30/7/2021, 4282, 0
31/7/2021, 4180, 0
1/8/2021, 4069, 0
2/8/2021, 4264, 0
3/8/2021, 4171, 0
4/8/2021, 3300, 0
5/8/2021, 3886, 0
6/8/2021, 4060, 0
7/8/2021, 3930, 0
8/8/2021, 3898, 0
9/8/2021, 3993, 0
10/8/2021, 3957, 0
11/8/2021, 3416, 0
12/8/2021, 3850, 0
13/8/2021, 3532, 0
14/8/2021, 4231, 0
15/8/2021, 4516, 0
16/8/2021, 3341, 0
17/8/2021, 3565, 0
18/8/2021, 3733, 0
19/8/2021, 4425, 0
20/8/2021, 3377, 0
21/8/2021, 4105, 0
22/8/2021, 4413, 0
23/8/2021, 4251, 0
24/8/2021, 4634, 0
25/8/2021, 5295, 0
26/8/2021, 3934, 0
27/8/2021, 5384, 0
28/8/2021, 5481, 0
29/8/2021, 4959, 0
30/8/2021, 5889, 0
31/8/2021, 5447, 0
1/9/2021, 5368, 0
2/9/2021, 5964, 0
3/9/2021, 8510, 0
4/9/2021, 4598, 0
5/9/2021, 6226, 0
6/9/2021, 7122, 0
7/9/2021, 7310, 0
8/9/2021, 7308, 0
9/9/2021, 5549, 0
10/9/2021, 7539, 0
11/9/2021, 5629, 0
12/9/2021, 6158, 0
13/9/2021, 5446, 8731224
14/9/2021, 6312, 8811224
15/9/2021, 5301, 8811224
16/9/2021, 5735, 8811224
17/9/2021, 5972, 8811224
18/9/2021, 4237, 8811224
19/9/2021, 5496, 8857224
20/9/2021, 5171, 8857224
21/9/2021, 6521, 8857224
22/9/2021, 5435, 8857224
23/9/2021, 5052, 8857224
24/9/2021, 3786, 8857224
25/9/2021, 4046, 8857224
26/9/2021, 5121, 8857224
27/9/2021, 4134, 9760764
28/9/2021, 377, 9760764
29/9/2021, 4699, 9760764
30/9/2021, 4372, 10555764
1/10/2021, 3670, 10555764
2/10/2021, 2723, 10555764
3/10/2021, 2461, 12278264
4/10/2021, 2490, 12278264
5/10/2021, 1491, 12278264
6/10/2021, 1960, 12278264
7/10/2021, 1730, 12278264
8/10/2021, 2215, 12278264
9/10/2021, 1662, 13094264
10/10/2021, 1067, 13094264
11/10/2021, 1527, 13094264
12/10/2021, 1018, 13094264
13/10/2021, 1162, 13094264
14/10/2021, 909, 13094264
15/10/2021, 1131, 14091264
16/10/2021, 790, 14091264
17/10/2021, 1059, 14091264
18/10/2021, 968, 14091264
19/10/2021, 907, 14091264
20/10/2021, 1347, 14091264
21/10/2021, 1255, 14091264
22/10/2021, 1205, 14091264
23/10/2021, 749, 14091264
24/10/2021, 966, 14970394
25/10/2021, 969, 14970394
26/10/2021, 783, 15054774
27/10/2021, 1140, 15054774
28/10/2021, 1069, 15054774
29/10/2021, 977, 15054774
30/10/2021, 1042, 15054774
31/10/2021, 1041, 15054774
1/11/2021, 927, 15054774
2/11/2021, 682, 15064774
3/11/2021, 985, 15064774
4/11/2021, 981, 15064774
5/11/2021, 912, 15064774
6/11/2021, 986, 15064774
7/11/2021, 1009, 15064774
8/11/2021, 1316, 15064774
9/11/2021, 1276, 15064774
10/11/2021, 1414, 14566774
11/11/2021, 0, 14566774
