day, case, vaccine provided
18/3/2020, 0, 0
19/3/2020, 0, 0
20/3/2020, 0, 0
21/3/2020, 0, 0
22/3/2020, 0, 0
23/3/2020, 0, 0
24/3/2020, 0, 0
25/3/2020, 0, 0
26/3/2020, 0, 0
27/3/2020, 0, 0
28/3/2020, 0, 0
29/3/2020, 0, 0
30/3/2020, 0, 0
31/3/2020, 0, 0
1/4/2020, 0, 0
2/4/2020, 0, 0
3/4/2020, 0, 0
4/4/2020, 0, 0
5/4/2020, 0, 0
6/4/2020, 0, 0
7/4/2020, 0, 0
8/4/2020, 0, 0
9/4/2020, 0, 0
10/4/2020, 0, 0
12/4/2020, 0, 0
13/4/2020, 0, 0
14/4/2020, 0, 0
15/4/2020, 0, 0
16/4/2020, 0, 0
17/4/2020, 0, 0
18/4/2020, 0, 0
19/4/2020, 0, 0
20/4/2020, 0, 0
21/4/2020, 0, 0
22/4/2020, 0, 0
23/4/2020, 0, 0
24/4/2020, 0, 0
25/4/2020, 0, 0
27/4/2020, 0, 0
29/4/2020, 0, 0
30/4/2020, 0, 0
1/5/2020, 0, 0
3/5/2020, 0, 0
4/5/2020, 0, 0
5/5/2020, 0, 0
6/5/2020, 0, 0
7/5/2020, 0, 0
8/5/2020, 0, 0
11/5/2020, 0, 0
12/5/2020, 0, 0
14/5/2020, 0, 0
15/5/2020, 0, 0
16/5/2020, 0, 0
17/5/2020, 0, 0
18/5/2020, 0, 0
20/5/2020, 0, 0
21/5/2020, 0, 0
22/5/2020, 0, 0
24/5/2020, 0, 0
25/5/2020, 0, 0
27/5/2020, 0, 0
29/5/2020, 0, 0
30/5/2020, 0, 0
1/6/2020, 0, 0
2/6/2020, 0, 0
3/6/2020, 0, 0
5/6/2020, 0, 0
6/6/2020, 0, 0
7/6/2020, 0, 0
8/6/2020, 0, 0
10/6/2020, 0, 0
11/6/2020, 0, 0
12/6/2020, 1, 0
13/6/2020, 0, 0
15/6/2020, 0, 0
16/6/2020, 0, 0
